Row,Day,day_of_week,date,page_loads,unique_visits,first_time_visits,returning_visits
2138,Tuesday,3,2020-07-21,3786,2889,2450,439
2139,Wednesday,4,2020-07-22,4002,3039,2566,473
2140,Thursday,5,2020-07-23,3823,3033,2525,508
2141,Friday,6,2020-07-24,3430,2623,2262,361
2142,Saturday,7,2020-07-25,2400,1767,1487,280
2143,Sunday,1,2020-07-26,2835,2207,1869,338
2144,Monday,2,2020-07-27,4001,3031,2523,508
2145,Tuesday,3,2020-07-28,3795,2969,2525,444
2146,Wednesday,4,2020-07-29,3903,3010,2591,419
2147,Thursday,5,2020-07-30,3397,2687,2265,422
2148,Friday,6,2020-07-31,3005,2317,1887,430
2149,Saturday,7,2020-08-01,2305,1750,1479,271
2150,Sunday,1,2020-08-02,2696,1993,1701,292
2151,Monday,2,2020-08-03,3866,2814,2368,446
2152,Tuesday,3,2020-08-04,3826,2845,2400,445
2153,Wednesday,4,2020-08-05,3673,2774,2334,440
2154,Thursday,5,2020-08-06,3660,2625,2189,436
2155,Friday,6,2020-08-07,3136,2364,1941,423
2156,Saturday,7,2020-08-08,2223,1628,1354,274
2157,Sunday,1,2020-08-09,2623,1941,1644,297
2158,Monday,2,2020-08-10,3638,2745,2325,420
2159,Tuesday,3,2020-08-11,3740,2742,2258,484
2160,Wednesday,4,2020-08-12,3767,2904,2477,427
2161,Thursday,5,2020-08-13,3621,2780,2322,458
2162,Friday,6,2020-08-14,2971,2308,1922,386
2163,Saturday,7,2020-08-15,2221,1696,1373,323
2164,Sunday,1,2020-08-16,2724,2037,1686,351
2165,Monday,2,2020-08-17,3456,2638,2181,457
2166,Tuesday,3,2020-08-18,3581,2683,2184,499
2167,Wednesday,4,2020-08-19,2064,1564,1297,267
